schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/CohereLabs/cohere-parse,Cohere,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/tri-fair-lab/publications,Tri Fair Lab,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/tencent/Hunyuan3D-2.1,Tencent,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Qwen/Qwen3-Coder-WebDev,Qwen,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/mrfakename/Z-Image-Turbo,Mrfakename,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/black-forest-labs/flux-klein-9b-kv,Black Forest Labs,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/ivannm/Qwen-Image-Edit-2509-LoRAs-Fast2-copy,Ivannm,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/mpasila/minimax-h3-reference-4-step-lora,Mpasila,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/multimodalart/minimax-h3-audio-to-video,Multimodalart,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/CodeSoft/SLM-Arena,CodeSoft,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/apodex/frontier-agent-demo,Apodex,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/mteb/leaderboard,Mteb,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/someone-in-the-world/FireRed-Experimental-Turbo,Someone In The World,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/ResterChed/wan2-2-free-uncensored,ResterChed,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/leosayer06/wan555,Leosayer06,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Lonuhbow/pornmaster-krea2,Lonuhbow,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Qwen/Qwen3-TTS,Qwen,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/prithivMLmods/FireRed-Image-Edit-1.0-Fast,prithivMLmods,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Onise/Qwen-Image-Edit-2509-LoRAs-Fast2,Onise,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Parthiban543/wanmanlove,Parthiban543,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/saddamdarwish/nanobananapro_bypassed,Saddamdarwish,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Audio8/audio8-tts-preview-0-1b,Udio,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/chrisssut/test,Chrisssut,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/open-llm-leaderboard/open_llm_leaderboard,Open LLM Leaderboard,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/nanotron/ultrascale-playbook,Nanotron,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hexgrad/Kokoro-TTS,Hexgrad,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/HuggingFaceTB/smol-training-playbook,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/LPX55/Qwen-Image-Edit-2511-Turbo-Lightning,Lpx55,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/RioShiina/ImageGen,RioShiina,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/zai-org/OpenVuln,Zai Org,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/victor/Qwen3.8-27B-free-endpoint,Victor,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/prithivMLmods/Qwen3.8-27B-Object-Detection,prithivMLmods,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Qwen/Qwen-Image-Edit,Qwen,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/AxiomicLabs/Open_SLM_Leaderboard,AxiomicLabs,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hugging-apps/sbgrid-storyboard,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Lightricks/LTX-2.5,Lightricks,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/FINAL-Bench/finchal,FINAL Bench,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hugging-apps/minimax-h3-controlnet-union,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hugging-apps/gliner2-5-multi-extractor,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hf-audio/open_asr_leaderboard,Hf Audio,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/TheStinger/UVR5_UI,TheStinger,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/HuggingFaceFW/blogpost-fineweb-v1,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/huggingface/InferenceSupport,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/malcolmrey/browser,Malcolmrey,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/openbmb/VoxCPM-Demo,Openbmb,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Qwen/Qwen-Image-Edit-2511,Qwen,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/Qwen/Qwen-Image-2512,Qwen,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/black-forest-labs/FLUX.2-klein-4B,Black Forest Labs,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/pliny-the-prompter/obliteratus,Pliny The Prompter,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/linoyts/smart-character-swap-flux2-klein,Linoyts,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/akhaliq/MiniMax-H3-Turbo-Lora,Akhaliq,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/HuggingFaceM4/vlm-data-autoresearch,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/OPI-PIB/puma,Opi Pib,FREE,2026-08-28T20:04:31.734779+00:00
1.0,PRODUCT,Hugging Face AI Spaces,https://huggingface.co/spaces/hugging-apps/canter-t2i-demo,Hugging Face,FREEMIUM,2026-08-28T20:04:31.734779+00:00
