raw_name,canonical_name,confidence_score,method,entity_type,timestamp
hexgrad,Hexgrad,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.413255+00:00
HuggingFaceTB,Hugging Face,0.969,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.413615+00:00
LPX55,Lpx55,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.414045+00:00
RioShiina,RioShiina,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.414399+00:00
zai-org,Zai Org,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.414790+00:00
victor,Victor,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.415194+00:00
prithivMLmods,prithivMLmods,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.415495+00:00
Qwen,Qwen,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.415825+00:00
AxiomicLabs,AxiomicLabs,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.416083+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.416292+00:00
Lightricks,Lightricks,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.416647+00:00
FINAL-Bench,FINAL Bench,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.416866+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.417091+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.417370+00:00
hf-audio,Hf Audio,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.417774+00:00
TheStinger,TheStinger,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.418014+00:00
HuggingFaceFW,Hugging Face,0.969,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.418209+00:00
huggingface,Hugging Face,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.418413+00:00
malcolmrey,Malcolmrey,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.418427+00:00
